supplier_id,supplier_name,country,region,category,on_time_delivery_rate,quality_score,lead_time_days_standard,lead_time_days_expedite,annual_spend_usd,min_order_qty,currency,payment_terms,iso_certified,esg_rating,single_source_risk,contact_email,last_audit_date,contract_expiry,notes
SUP-001,Ningbo Electronics Ltd,China,Asia Pacific,Consumer Electronics,0.97,4.6,45,28,4200000,500,USD,Net 45,Yes,B+,Low,procurement@ningbo-elec.cn,2024-09-15,2025-12-31,Primary CE supplier; volume rebate at $4M annual spend
SUP-002,FlexPower GmbH,Germany,Europe,Consumer Electronics,0.99,4.9,21,10,820000,100,EUR,Net 30,Yes,A,Low,orders@flexpower.de,2024-11-01,2026-06-30,EU-compliant supplier; higher cost but 2-day lead time advantage for EU orders
SUP-003,Mitsuya Precision,Japan,Asia Pacific,Industrial Automation,0.98,4.9,105,56,3100000,50,JPY,Net 60,Yes,A+,HIGH,supply@mitsuya.co.jp,2024-07-22,2025-09-30,SINGLE SOURCE — qualify backup urgently. Q2 price increase of 4% notified.
SUP-004,ArcelorMittal Europe,Luxembourg,Europe,Raw Materials - Steel,0.95,4.4,28,14,1850000,50000,USD,Net 30,Yes,B,Low,steel.orders@arcelormittal.com,2024-10-10,2025-06-30,60% of steel volume; preferred for European demand. Tariff risk if trade policy changes.
SUP-005,Novelis North America,USA,North America,Raw Materials - Aluminium,0.96,4.7,35,18,920000,25000,USD,Net 30,Yes,A-,Medium,procurement@novelis.com,2024-08-30,2025-12-31,100% of aluminium supply — alternative supplier qualification in progress (Hydro ASA)
SUP-006,GreenPack Industries,USA,North America,Packaging Materials,0.98,4.5,22,10,560000,10000,USD,Net 30,Yes,A,Low,orders@greenpack.com,2024-12-01,2026-03-31,Offers recycled-content option (+8% cost). Mandatory for EU shipments from Feb 2025.
SUP-007,Hydro ASA,Norway,Europe,Raw Materials - Aluminium,0.94,4.3,42,25,0,25000,NOK,Net 45,Yes,A+,Low,industrial@hydro.com,2024-05-15,2026-12-31,Qualification supplier for aluminium. First pilot order Q2 2025. Best ESG score in category.
SUP-008,Shenzhen FastTech Co.,China,Asia Pacific,Consumer Electronics,0.88,3.7,38,22,0,1000,USD,Advance Payment,No,C,Low,sales@fasttech.sz.cn,Not audited,,NEW — under evaluation. Competitive pricing but below quality threshold. Do not use until audit passed.
SUP-009,Apex Logistics Partners,USA,North America,3PL / Warehousing,0.96,4.4,3,1,780000,1,USD,Net 15,Yes,B+,Low,ops@apexlogistics.com,2024-11-15,2025-11-30,Primary 3PL for North America. 99.2% order accuracy last quarter.
SUP-010,DHL Supply Chain,Germany,Global,3PL / Freight,0.97,4.6,2,1,1200000,1,EUR,Net 30,Yes,A-,Low,scm@dhl.com,2024-10-01,2026-09-30,Global freight partner. Preferred for intercontinental lanes. Fuel surcharge review due Feb 2025.
